iter	Logloss
0	0.6674687456
1	0.6437414906
2	0.6221205562
3	0.6016867185
4	0.5830357488
5	0.5661129648
6	0.5498932388
7	0.5352450771
8	0.5216234191
9	0.5088409314
10	0.4973028398
11	0.4866637627
12	0.4769936031
13	0.4678362344
14	0.4595615617
15	0.452176673
16	0.445140909
17	0.438339482
18	0.4322676894
19	0.4265970015
20	0.421548362
21	0.416618821
22	0.4120622629
23	0.4078968849
24	0.4041872524
25	0.4004515721
26	0.3968836945
27	0.3935381258
28	0.390698792
29	0.3878225305
30	0.3852953066
31	0.3829664909
32	0.3807854431
33	0.3785783173
34	0.3765730135
35	0.3747538871
36	0.3732041369
37	0.3721656507
38	0.3705873434
39	0.3692103033
40	0.3683652821
41	0.3670463728
42	0.3658519801
43	0.364811331
44	0.3637226302
45	0.3626890054
46	0.3617428279
47	0.3608731193
48	0.3599365207
49	0.3591571096
50	0.3584486777
51	0.3578183202
52	0.3571572421
53	0.3565361697
54	0.3562299932
55	0.3556395199
56	0.3551516664
57	0.3546589735
58	0.354226143
59	0.353763103
60	0.3533809704
61	0.3529901913
62	0.3525975823
63	0.3522701203
64	0.3519262942
65	0.3516070849
66	0.3513699791
67	0.3510408615
68	0.3507814167
69	0.3505154783
70	0.3502862258
71	0.3500722976
72	0.3498539163
73	0.3496113729
74	0.3494178113
75	0.3491927647
76	0.3490160039
77	0.3488773477
78	0.3487103782
79	0.3485231526
80	0.3483309403
81	0.3481999196
82	0.3480802678
83	0.3479342993
84	0.3478406243
85	0.3477221579
86	0.3476226425
87	0.347416276
88	0.34728614
89	0.3471615009
90	0.3470405505
91	0.3469399748
92	0.3468371115
93	0.3466912132
94	0.3465169774
95	0.3464269757
96	0.3463403996
97	0.3462644788
98	0.3461885526
99	0.3461348404
100	0.3460790864
101	0.3460071568
102	0.3459345766
103	0.3458785206
104	0.3458177241
105	0.3457436435
106	0.3456812211
107	0.3456075786
108	0.3455446955
109	0.3455000938
110	0.3454492553
111	0.3454103369
112	0.3453653064
113	0.345279678
114	0.3452140023
115	0.3451635435
116	0.3451120304
117	0.345079446
118	0.3450348783
119	0.3449755565
120	0.3449392014
121	0.3448786692
122	0.3448240531
123	0.3447754614
124	0.3447248175
125	0.3446802827
126	0.3446674472
127	0.3446187119
128	0.3445830308
129	0.3445255519
130	0.3444902385
131	0.3444131841
132	0.3443791233
133	0.3443487151
134	0.3443154167
135	0.3442757376
136	0.3442476697
137	0.3442179239
138	0.3441770451
139	0.3441553467
140	0.3441096848
141	0.3440795188
142	0.344057844
143	0.3440308535
144	0.3440118361
145	0.3439791982
146	0.3439186808
147	0.3439045027
148	0.3438829173
149	0.3438170413
150	0.343794374
151	0.3437662662
152	0.3437445141
153	0.343733202
154	0.3437173937
155	0.3437000806
156	0.3436750715
157	0.3436658227
158	0.3436433603
159	0.3436134816
160	0.3435972147
161	0.3435402845
162	0.3435264393
163	0.3434693784
164	0.3434365827
165	0.3434166572
166	0.3433972233
167	0.3433764825
168	0.3433678932
169	0.3433420758
170	0.3433351399
171	0.3433230989
172	0.3433025823
173	0.3432852051
174	0.34326571
175	0.3432630214
176	0.3432481824
177	0.3432365884
178	0.3432147536
179	0.3431909454
180	0.34317676
181	0.3431658739
182	0.343149934
183	0.3431048615
184	0.3430866059
185	0.3430406538
186	0.34302296
187	0.3430095966
188	0.3429867681
189	0.3429653828
190	0.3429416499
191	0.342923672
192	0.3429141332
193	0.342897025
194	0.3428804809
195	0.3428520128
196	0.3428256826
197	0.3428112006
198	0.3427787654
199	0.3427577067
200	0.3427419308
201	0.3427419308
202	0.3427289761
203	0.3427125364
204	0.3426969515
205	0.342684046
206	0.3426815321
207	0.3426732773
208	0.3426455979
209	0.3426323883
210	0.3426239037
211	0.3426094569
212	0.3425927447
213	0.3425795991
214	0.3425680687
215	0.3425644433
216	0.3425510999
217	0.342540261
218	0.3425286596
219	0.3425213746
220	0.3424999803
221	0.3424966603
222	0.3424888338
223	0.3424781871
224	0.3424624581
225	0.3424449238
226	0.3424395426
227	0.3424303675
228	0.3424206804
229	0.3424046724
230	0.3424032774
231	0.3423996378
232	0.3423845957
233	0.342377927
234	0.3423763104
235	0.3423680452
236	0.3423519155
237	0.3423385636
238	0.3423284422
239	0.3423158343
240	0.3423060608
241	0.3422886765
242	0.3422796765
243	0.3422747758
244	0.3422677925
245	0.3422634857
246	0.3422390883
247	0.3422311516
248	0.3422220489
249	0.3422195141
250	0.3421885017
251	0.3421856797
252	0.3421722599
253	0.3421605145
254	0.3421525366
255	0.3421510907
256	0.342139183
257	0.3421276103
258	0.3421149546
259	0.3421080088
260	0.3421005081
261	0.3420796125
262	0.3420562173
263	0.3420539815
264	0.3420466959
265	0.3420398477
266	0.3420284363
267	0.3420118531
268	0.3420027
269	0.3419917127
270	0.3419806124
271	0.3419679971
272	0.3419568521
273	0.3419508671
274	0.3419424133
275	0.3419367647
276	0.3419302932
277	0.3419256605
278	0.3419172686
279	0.3418927843
280	0.3418828358
281	0.3418741113
282	0.341867064
283	0.3418653909
284	0.3418562515
285	0.3418383079
286	0.34182824
287	0.3418175432
288	0.3418133849
289	0.3418036146
290	0.3417970192
291	0.3417868642
292	0.3417827906
293	0.3417699631
294	0.3417608078
295	0.3417550283
296	0.3417379165
297	0.3417336535
298	0.3417288341
299	0.3417260877
300	0.3417187234
301	0.3417127414
302	0.3417047534
303	0.3416799424
304	0.3416767433
305	0.3416597826
306	0.341643816
307	0.3416366701
308	0.34163358
309	0.3416202984
310	0.341604724
311	0.3415892145
312	0.3415831923
313	0.341578341
314	0.3415734475
315	0.3415721492
316	0.3415666483
317	0.3415658567
318	0.3415657608
319	0.3415545059
320	0.3415526394
321	0.3415383477
322	0.3415333168
323	0.3415225044
324	0.3415222597
325	0.3415128812
326	0.3415049127
327	0.3415012548
328	0.3414956462
329	0.3414887341
330	0.341488734
331	0.3414870187
332	0.3414733445
333	0.3414720524
334	0.3414653176
335	0.341454018
336	0.3414503198
337	0.3414503196
338	0.3414376903
339	0.3414314616
340	0.3414174036
341	0.3414124677
342	0.3414101281
343	0.3414062311
344	0.3414000892
345	0.341390169
346	0.3413807468
347	0.3413733974
348	0.3413669876
349	0.3413626782
350	0.3413514397
351	0.341349937
352	0.3413449135
353	0.3413341785
354	0.3413341144
355	0.3413262769
356	0.3413237192
357	0.3413148725
358	0.3413042188
359	0.3413015996
360	0.3412850919
361	0.3412819639
362	0.341269863
363	0.3412645483
364	0.341257005
365	0.341249171
366	0.3412449132
367	0.3412426631
368	0.3412350711
369	0.3412123562
370	0.3412091572
371	0.3412031748
372	0.3412003373
373	0.3412002993
374	0.3411975516
375	0.3411886147
376	0.3411822169
377	0.3411768827
378	0.3411660337
379	0.3411622411
380	0.3411508544
381	0.3411494116
382	0.3411445121
383	0.3411327424
384	0.3411289332
385	0.3411227341
386	0.3411160277
387	0.3411136966
388	0.34110515
389	0.3410973976
390	0.3410948993
391	0.3410824117
392	0.3410698123
393	0.3410644242
394	0.3410541119
395	0.3410469847
396	0.3410316272
397	0.341022261
398	0.3410098497
399	0.3410020702
400	0.3409969124
401	0.3409820776
402	0.3409721393
403	0.3409652201
404	0.3409515955
405	0.3409363851
406	0.3409336224
407	0.3409283663
408	0.340923178
409	0.3409139218
410	0.3409000894
411	0.340896204
412	0.3408861192
413	0.3408781839
414	0.3408760118
415	0.3408712353
416	0.3408588492
417	0.340853384
418	0.3408486593
419	0.3408374954
420	0.3408314252
421	0.3408226624
422	0.3408119822
423	0.3408040961
424	0.3407924033
425	0.3407876431
426	0.3407763008
427	0.3407515884
428	0.3407487669
429	0.3407405526
430	0.3407345741
431	0.3407247094
432	0.3407111923
433	0.3406993627
434	0.3406884172
435	0.3406802964
436	0.3406687149
437	0.3406539434
438	0.3406468221
439	0.3406350584
440	0.3406285836
441	0.3406219419
442	0.3406076301
443	0.3406024519
444	0.3405974063
445	0.3405858585
446	0.3405799591
447	0.3405647453
448	0.3405616457
449	0.3405546658
450	0.3405499251
451	0.3405416283
452	0.3405324441
453	0.3405290685
454	0.3405134826
455	0.3405072498
456	0.3404989555
457	0.340491849
458	0.340478986
459	0.3404700448
460	0.340465835
461	0.3404559954
462	0.3404487733
463	0.3404426056
464	0.3404241284
465	0.3404176913
466	0.3404096544
467	0.3404056704
468	0.3403979711
469	0.3403857247
470	0.3403716835
471	0.3403625385
472	0.3403592553
473	0.3403551652
474	0.3403434641
475	0.3403358781
476	0.3403267992
477	0.3403100713
478	0.340306144
479	0.3402958203
480	0.340294412
481	0.3402865387
482	0.340278597
483	0.3402697201
484	0.3402593198
485	0.3402496541
486	0.3402367498
487	0.3402286855
488	0.3402157009
489	0.3402022538
490	0.3402008874
491	0.3401925548
492	0.3401844321
493	0.3401786505
494	0.3401743024
495	0.3401650545
496	0.3401546334
497	0.3401500814
498	0.3401402827
499	0.3401378684
