iter	Passed	Remaining
0	73	7268
1	148	7290
2	207	6712
3	258	6203
4	305	5804
5	351	5506
6	394	5242
7	438	5046
8	499	5049
9	532	4789
10	581	4706
11	636	4668
12	663	4443
13	730	4486
14	778	4411
15	856	4498
16	909	4440
17	956	4355
18	1000	4266
19	1064	4258
20	1117	4204
21	1175	4166
22	1222	4092
23	1284	4067
24	1322	3967
25	1380	3927
26	1427	3860
27	1477	3800
28	1523	3728
29	1590	3710
30	1649	3671
31	1704	3621
32	1763	3580
33	1808	3510
34	1855	3445
35	1897	3373
36	1951	3322
37	2015	3288
38	2063	3227
39	2110	3166
40	2150	3094
41	2205	3045
42	2244	2975
43	2284	2908
44	2324	2840
45	2363	2774
46	2426	2736
47	2491	2698
48	2554	2658
49	2602	2602
50	2649	2545
51	2691	2484
52	2744	2433
53	2793	2379
54	2839	2323
55	2888	2269
56	2934	2213
57	2997	2170
58	3035	2109
59	3077	2051
60	3128	2000
61	3188	1954
62	3229	1896
63	3284	1847
64	3335	1796
65	3379	1741
66	3429	1689
67	3475	1635
68	3514	1579
69	3572	1531
70	3618	1478
71	3665	1425
72	3715	1374
73	3755	1319
74	3825	1275
75	3873	1223
76	3920	1171
77	3968	1119
78	4016	1067
79	4078	1019
80	4127	968
81	4173	916
82	4220	864
83	4288	816
84	4333	764
85	4381	713
86	4428	661
87	4478	610
88	4524	559
89	4573	508
90	4637	458
91	4683	407
92	4746	357
93	4795	306
94	4844	254
95	4890	203
96	4937	152
97	4985	101
98	5033	50
99	5099	0
