iter	Logloss
0	0.4337393314
1	0.3749770061
2	0.355108976
3	0.3494475004
4	0.3464850388
5	0.3457017759
6	0.3447845528
7	0.344309464
8	0.3440983621
9	0.3440421717
10	0.3437979117
11	0.34362889
12	0.3436282067
13	0.3435702963
14	0.3432448406
15	0.3431059886
16	0.3430201853
17	0.3427970906
18	0.3425276835
19	0.3424346746
20	0.342310278
21	0.3421795873
22	0.3420671378
23	0.3419267601
24	0.3419247527
25	0.341802118
26	0.3417221202
27	0.341661706
28	0.341512361
29	0.3414006479
30	0.341394151
31	0.3413100118
32	0.3411766805
33	0.341025543
34	0.3409523169
35	0.3408375824
36	0.3408240762
37	0.3406815552
38	0.3405558646
39	0.340526128
40	0.340520631
41	0.3405201849
42	0.3405186934
43	0.3405180278
44	0.3405109325
45	0.3404891999
46	0.3404543442
47	0.3403115739
48	0.3402627261
49	0.3402318322
50	0.3401278669
51	0.3400835533
52	0.3399423512
53	0.3398952343
54	0.3398352526
55	0.3398297176
56	0.3398221734
57	0.3398211616
58	0.3398208952
59	0.3398014937
60	0.3397069372
61	0.3396712633
62	0.3396710953
63	0.339587953
64	0.3394173534
65	0.3393043868
66	0.3392809767
67	0.3391896369
68	0.3391834283
69	0.3391532465
70	0.3390866528
71	0.3390865751
72	0.3390194544
73	0.3390100574
74	0.3389716748
75	0.3388789569
76	0.3388090024
77	0.3387646911
78	0.3385741559
79	0.3384952759
80	0.3384449693
81	0.3384361741
82	0.3384336688
83	0.3383824782
84	0.3382947492
85	0.3382355108
86	0.338221061
87	0.3382191067
88	0.338100263
89	0.3380585465
90	0.3379878612
91	0.3379557224
92	0.3379237848
93	0.3378841489
94	0.33782808
95	0.3377654678
96	0.3377606115
97	0.3377217367
98	0.3376386826
99	0.3375621386
